"xCoords","yCoords","width","colorToUse"
"133",2,4.6,1.04646489383673,"#f781bf"
"134",1.8,4.6,1.04646489383673,"#f781bf"
"135",1.6,4.6,1.04646489383673,"#f781bf"
"136",NA,NA,NA,NA
"137",1,4.6,0.615942529397048,"#AAAAAA"
"138",1.2,4.2,0.615942529397048,"#AAAAAA"
"139",1.4,4.2,0.615942529397048,"#AAAAAA"
"140",NA,NA,NA,NA
"141",2,1,0.615942529397048,"#f781bf"
"142",1.8,1.4,0.615942529397048,"#f781bf"
"143",1.6,1.4,0.615942529397048,"#f781bf"
"144",NA,NA,NA,NA
"145",1,4.6,0.078432374404204,"#4daf4a"
"146",1.2,4.7,0.078432374404204,"#4daf4a"
"147",1.4,4.7,0.078432374404204,"#4daf4a"
"148",NA,NA,NA,NA
"149",2,5.5,0.078432374404204,"#f781bf"
"150",1.8,5.4,0.078432374404204,"#f781bf"
"151",1.6,5.4,0.078432374404204,"#f781bf"
"152",NA,NA,NA,NA
"153",1,4.6,0.0306460621621987,"#a65628"
"154",1.2,4.5,0.0306460621621987,"#a65628"
"155",1.4,4.5,0.0306460621621987,"#a65628"
"156",NA,NA,NA,NA
"157",2,3.7,0.0306460621621987,"#f781bf"
"158",1.8,3.8,0.0306460621621987,"#f781bf"
"159",1.6,3.8,0.0306460621621987,"#f781bf"
"160",NA,NA,NA,NA
"161",1,4.6,0.000837576125848704,"#377eb8"
"162",1.2,4.4,0.000837576125848704,"#377eb8"
"163",1.4,4.4,0.000837576125848704,"#377eb8"
"164",NA,NA,NA,NA
"165",2,2.8,0.000837576125848704,"#f781bf"
"166",1.8,3,0.000837576125848704,"#f781bf"
"167",1.6,3,0.000837576125848704,"#f781bf"
"168",NA,NA,NA,NA
"169",1,1,0.885005829966331,"#ffd300"
"170",1.2,1.6,0.885005829966331,"#ffd300"
"171",1.4,1.6,0.885005829966331,"#ffd300"
"172",NA,NA,NA,NA
"173",2,6.4,0.885005829966331,"#AAAAAA"
"174",1.8,5.8,0.885005829966331,"#AAAAAA"
"175",1.6,5.8,0.885005829966331,"#AAAAAA"
"176",NA,NA,NA,NA
"177",1,1,0.0205074378777735,"#e41a1c"
"178",1.2,1.1,0.0205074378777735,"#e41a1c"
"179",1.4,1.1,0.0205074378777735,"#e41a1c"
"180",NA,NA,NA,NA
"181",2,1.9,0.0205074378777735,"#AAAAAA"
"182",1.8,1.8,0.0205074378777735,"#AAAAAA"
"183",1.6,1.8,0.0205074378777735,"#AAAAAA"
"184",NA,NA,NA,NA
"185",1,1,0.50393998856828,"#f781bf"
"186",1.2,1.4,0.50393998856828,"#f781bf"
"187",1.4,1.4,0.50393998856828,"#f781bf"
"188",NA,NA,NA,NA
"189",2,4.6,0.50393998856828,"#AAAAAA"
"190",1.8,4.2,0.50393998856828,"#AAAAAA"
"191",1.6,4.2,0.50393998856828,"#AAAAAA"
"192",NA,NA,NA,NA
"193",1,1,64.2871441889936,"#AAAAAA"
"194",1.2,1,64.2871441889936,"#AAAAAA"
"195",1.4,1,64.2871441889936,"#AAAAAA"
"196",NA,NA,NA,NA
"197",2,1,64.2871441889936,"#AAAAAA"
"198",1.8,1,64.2871441889936,"#AAAAAA"
"199",1.6,1,64.2871441889936,"#AAAAAA"
"200",NA,NA,NA,NA
"201",1,1,0.814299827661094,"#4daf4a"
"202",1.2,1.5,0.814299827661094,"#4daf4a"
"203",1.4,1.5,0.814299827661094,"#4daf4a"
"204",NA,NA,NA,NA
"205",2,5.5,0.814299827661094,"#AAAAAA"
"206",1.8,5,0.814299827661094,"#AAAAAA"
"207",1.6,5,0.814299827661094,"#AAAAAA"
"208",NA,NA,NA,NA
"209",1,1,0.289230601829578,"#a65628"
"210",1.2,1.3,0.289230601829578,"#a65628"
"211",1.4,1.3,0.289230601829578,"#a65628"
"212",NA,NA,NA,NA
"213",2,3.7,0.289230601829578,"#AAAAAA"
"214",1.8,3.4,0.289230601829578,"#AAAAAA"
"215",1.6,3.4,0.289230601829578,"#AAAAAA"
"216",NA,NA,NA,NA
"217",1,1,0.0444253012591256,"#377eb8"
"218",1.2,1.2,0.0444253012591256,"#377eb8"
"219",1.4,1.2,0.0444253012591256,"#377eb8"
"220",NA,NA,NA,NA
"221",2,2.8,0.0444253012591256,"#AAAAAA"
"222",1.8,2.6,0.0444253012591256,"#AAAAAA"
"223",1.6,2.6,0.0444253012591256,"#AAAAAA"
"224",NA,NA,NA,NA
"225",1,5.5,8.68212922788271,"#ffd300"
"226",1.2,5.6,8.68212922788271,"#ffd300"
"227",1.4,5.6,8.68212922788271,"#ffd300"
"228",NA,NA,NA,NA
"229",2,6.4,8.68212922788271,"#4daf4a"
"230",1.8,6.3,8.68212922788271,"#4daf4a"
"231",1.6,6.3,8.68212922788271,"#4daf4a"
"232",NA,NA,NA,NA
"233",1,5.5,0.0110947952599516,"#e41a1c"
"234",1.2,5.1,0.0110947952599516,"#e41a1c"
"235",1.4,5.1,0.0110947952599516,"#e41a1c"
"236",NA,NA,NA,NA
"237",2,1.9,0.0110947952599516,"#4daf4a"
"238",1.8,2.3,0.0110947952599516,"#4daf4a"
"239",1.6,2.3,0.0110947952599516,"#4daf4a"
"240",NA,NA,NA,NA
"241",1,5.5,0.0555732171288287,"#f781bf"
"242",1.2,5.4,0.0555732171288287,"#f781bf"
"243",1.4,5.4,0.0555732171288287,"#f781bf"
"244",NA,NA,NA,NA
"245",2,4.6,0.0555732171288287,"#4daf4a"
"246",1.8,4.7,0.0555732171288287,"#4daf4a"
"247",1.6,4.7,0.0555732171288287,"#4daf4a"
"248",NA,NA,NA,NA
"249",1,5.5,0.930412009461332,"#AAAAAA"
"250",1.2,5,0.930412009461332,"#AAAAAA"
"251",1.4,5,0.930412009461332,"#AAAAAA"
"252",NA,NA,NA,NA
"253",2,1,0.930412009461332,"#4daf4a"
"254",1.8,1.5,0.930412009461332,"#4daf4a"
"255",1.6,1.5,0.930412009461332,"#4daf4a"
"256",NA,NA,NA,NA
"257",1,5.5,1.54496846155277,"#4daf4a"
"258",1.2,5.5,1.54496846155277,"#4daf4a"
"259",1.4,5.5,1.54496846155277,"#4daf4a"
"260",NA,NA,NA,NA
"261",2,5.5,1.54496846155277,"#4daf4a"
"262",1.8,5.5,1.54496846155277,"#4daf4a"
"263",1.6,5.5,1.54496846155277,"#4daf4a"
"264",NA,NA,NA,NA
"265",1,5.5,1.85010683295839,"#a65628"
"266",1.2,5.3,1.85010683295839,"#a65628"
"267",1.4,5.3,1.85010683295839,"#a65628"
"268",NA,NA,NA,NA
"269",2,3.7,1.85010683295839,"#4daf4a"
"270",1.8,3.9,1.85010683295839,"#4daf4a"
"271",1.6,3.9,1.85010683295839,"#4daf4a"
"272",NA,NA,NA,NA
