"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"T130 R45W S25",121121,135,121,121,2008,2009
"T130 R45W S25",141141,13,141,141,2008,2009
"T130 R45W S25",141190,1,141,190,2008,2009
"T130 R45W S25",195176,11,195,176,2008,2009
"T130 R45W S25",195195,15,195,195,2008,2009
"T130 R45W S25",176195,10,176,195,2008,2009
"T130 R45W S25",176176,28,176,176,2008,2009
"T130 R45W S25",23195,2,23,195,2008,2009
"T130 R45W S25",195005,5,195,5,2008,2009
"T130 R45W S25",5195,11,5,195,2008,2009
"T130 R45W S25",121122,3,121,122,2008,2009
"T130 R45W S25",122122,50,122,122,2008,2009
"T130 R45W S25",176023,1,176,23,2008,2009
"T130 R45W S25",5176,7,5,176,2008,2009
"T130 R45W S25",122123,7,122,123,2008,2009
"T130 R45W S25",122121,2,122,121,2008,2009
"T130 R45W S25",23176,1,23,176,2008,2009
"T130 R45W S25",5005,30,5,5,2008,2009
"T130 R45W S25",23005,262,23,5,2008,2009
"T130 R45W S25",5023,698,5,23,2008,2009
"T130 R45W S25",41176,1,41,176,2008,2009
"T130 R45W S25",123122,2,123,122,2008,2009
"T130 R45W S25",123123,3,123,123,2008,2009
"T130 R45W S25",6005,3,6,5,2008,2009
"T130 R45W S25",41005,528,41,5,2008,2009
"T130 R45W S25",1023,9,1,23,2008,2009
"T130 R45W S25",41023,15,41,23,2008,2009
"T130 R45W S25",1195,2,1,195,2008,2009
"T130 R45W S25",1001,8,1,1,2008,2009
"T130 R45W S25",1005,19,1,5,2008,2009
"T130 R45W S25",1176,2,1,176,2008,2009
"T130 R45W S25",5001,1006,5,1,2008,2009
"T130 R45W S25",41001,1,41,1,2008,2009
"T130 R45W S25",121121,125,121,121,2009,2010
"T130 R45W S25",141141,13,141,141,2009,2010
"T130 R45W S25",176195,11,176,195,2009,2010
"T130 R45W S25",190141,1,190,141,2009,2010
"T130 R45W S25",195176,24,195,176,2009,2010
"T130 R45W S25",195195,7,195,195,2009,2010
"T130 R45W S25",195005,4,195,5,2009,2010
"T130 R45W S25",5195,4,5,195,2009,2010
"T130 R45W S25",176176,32,176,176,2009,2010
"T130 R45W S25",176005,5,176,5,2009,2010
"T130 R45W S25",122121,3,122,121,2009,2010
"T130 R45W S25",122122,50,122,122,2009,2010
"T130 R45W S25",122123,2,122,123,2009,2010
"T130 R45W S25",121122,4,121,122,2009,2010
"T130 R45W S25",23176,2,23,176,2009,2010
"T130 R45W S25",5005,274,5,5,2009,2010
"T130 R45W S25",5176,23,5,176,2009,2010
"T130 R45W S25",23005,4,23,5,2009,2010
"T130 R45W S25",121176,3,121,176,2009,2010
"T130 R45W S25",123122,6,123,122,2009,2010
"T130 R45W S25",123123,4,123,123,2009,2010
"T130 R45W S25",23006,1,23,6,2009,2010
"T130 R45W S25",23041,543,23,41,2009,2010
"T130 R45W S25",23042,1,23,42,2009,2010
"T130 R45W S25",121005,5,121,5,2009,2010
"T130 R45W S25",23001,172,23,1,2009,2010
